"year","county","water_regime","site","soil","tillage","predecessor","planting_date","planting_date_DOY","density_pl_ha","nitrogen_kg_ha","phosphorus_kg_ha","potassium_kg_ha","irrigation_mm","harvest_date","harvest_date_DOY","mean_yield","sd_yield","mean_maturity"
1991,"Finney","irrigated","Garden City","Silt Loam",,,1991-05-30,150,430663.221360896,168.1275,0,0,508,,,59.8518518518519,3.28746853005905,NaN
1991,"Republic","irrigated","Scandia","Silt Loam",,,1991-05-14,134,430663.221360896,0,0,0,213.36,,,55.2816666666667,5.60016621020492,NaN
1991,"Shawnee","irrigated","Topeka","Silt Loam",,,1991-05-13,133,344530.577088717,0,0,0,377.444,,,67.38,5.54207493585161,NaN
1991,"Thomas","irrigated","Colby","Silt Loam",,,1991-05-21,141,387596.899224806,56.0425,19.5655576,0,355.6,,,74.1613636363636,4.29798308074472,NaN
1992,"Finney","irrigated","Garden City","Silt Loam",,,1992-05-26,147,430663.221360896,0,0,0,304.8,,,40.0871794871795,9.4661218504723,NaN
1992,"Franklin","dryland","Ottawa","Silt Loam",,,1992-06-19,171,344530.577088717,0,0,0,0,,,44.6694444444444,4.11805821070942,NaN
1992,"Republic","dryland","Belleville","Silt Loam",,,1992-05-29,150,301464.254952627,11.2085,16.63072396,0,0,,,57.2088235294118,2.78615273429572,NaN
1992,"Republic","irrigated","Scandia","Silt Loam",,,1992-05-15,136,430663.221360896,11.2085,16.63072396,0,0,,,57.115873015873,2.93594005109351,NaN
1992,"Shawnee","irrigated","Topeka","Silt Loam",,,1992-05-18,139,344530.577088717,0,0,0,119.38,,,57.989156626506,5.51054448303969,NaN
1993,"Finney","irrigated","Garden City","Silt Loam",,,1993-05-20,140,430663.221360896,0,0,0,609.6,,,47.4738,7.00208945200485,NaN
1993,"Franklin","dryland","Ottawa","Silt Loam",,,1993-06-15,166,344530.577088717,0,0,0,0,,,29.850826446281,3.33423394169657,NaN
1993,"Republic","dryland","Belleville","Silt Loam",,,1993-05-30,150,344530.577088717,0,0,0,0,,,55.2386111111111,3.29106769716176,NaN
1993,"Shawnee","irrigated","Topeka","Silt Loam",,,1993-05-20,140,344530.577088717,0,0,0,42.672,,,50.0194680851064,6.9734421495377,NaN
1994,"Finney","irrigated","Garden City","Silt Loam",,,1994-05-11,131,430663.221360896,0,0,0,,,,56.759,8.06233357731274,NaN
1994,"Franklin","dryland","Ottawa","Silt Loam",,,1994-06-16,167,344530.577088717,0,0,0,0,,,45.0039097744361,3.1205542520973,NaN
1994,"Republic","dryland","Belleville","Silt Loam",,,1994-05-10,130,344530.577088717,0,0,0,0,,,30.7474509803922,2.43979166580858,NaN
1994,"Republic","irrigated","Scandia","Silt Loam",,,1994-05-09,129,430663.221360896,0,0,0,304.8,,,70.9789655172414,6.22110096017456,NaN
1994,"Thomas","irrigated","Colby","Silt Loam",,,1994-05-19,139,387596.899224806,50.43825,3.42397258,0,381,,,70.5672413793103,4.78699271579598,NaN
1995,"Finney","irrigated","Garden City","Silt Loam",,,1995-06-02,153,430663.221360896,0,0,0,1016,,,34.621875,4.90998490106878,NaN
1995,"Franklin","dryland","Ottawa","Silt Loam",,,1995-06-19,170,344530.577088717,0,0,0,0,,,32.7141481481481,5.71224625618689,NaN
1995,"Republic","dryland","Belleville","Silt Loam",,,1995-06-13,164,473729.543496985,11.2085,16.63072396,0,0,,,42.5018032786885,7.52008034269952,NaN
1995,"Republic","irrigated","Scandia","Silt Loam",,,1995-06-09,160,516795.865633075,11.2085,16.63072396,0,457.2,,,55.441875,4.01287288728709,NaN
1995,"Shawnee","irrigated","Topeka","Silt Loam",,,1995-05-30,150,344530.577088717,0,0,0,360.426,,,56.120947368421,5.37118119139705,NaN
1995,"Thomas","irrigated","Colby","Silt Loam",,,1995-06-14,165,387596.899224806,5.60425,7.3370841,0,381,,,35.0355555555556,3.99585459798702,NaN
1996,"Finney","irrigated","Garden City","Silt Loam",,,1996-05-15,136,430663.221360896,0,0,0,406.4,,,47.2388095238095,13.1948478863275,NaN
1996,"Franklin","dryland","Ottawa","Silt Loam",,,1996-05-24,145,344530.577088717,0,0,0,0,,,51.2363333333333,4.95153238112691,NaN
1996,"Republic","dryland","Belleville","Silt Loam",,,1996-05-21,142,430663.221360896,33.6255,14.6741682,0,0,,,61.852380952381,10.8817557754142,NaN
1996,"Republic","irrigated","Scandia","Silt Loam",,,1996-05-20,141,430663.221360896,33.6255,14.6741682,0,109.22,,,60.11,10.3731851278655,NaN
1996,"Thomas","irrigated","Colby","Silt Loam",,,1996-05-21,142,,6.7251,9.7827788,0,177.8,,,51.9738095238095,6.2080113371276,NaN
1997,"Finney","irrigated","Garden City","Silt Loam",,,1997-05-13,133,430663.221360896,20.1753,22.50039124,0,332.74,,,49.1834042553191,11.8374257771138,NaN
1997,"Franklin","dryland","Ottawa","Silt Loam",,,1997-06-09,160,344530.577088717,0,0,0,0,,,44.0025714285714,6.24009584932725,NaN
1997,"Republic","dryland","Belleville","Silt Loam",,,1997-05-13,133,430663.221360896,0,0,0,0,,,34.5642857142857,9.9557904555324,NaN
1997,"Republic","irrigated","Scandia","Silt Loam",,,1997-05-13,133,516795.865633075,0,0,0,215.9,,,66.1203125,12.6706349634493,NaN
1997,"Shawnee","irrigated","Topeka","Silt Loam",,,1997-05-14,134,301464.254952627,0,0,0,129.54,,,64.4234065934066,10.9616356463785,NaN
1997,"Thomas","irrigated","Colby","Silt Loam",,,1997-05-20,140,,33.6255,13.69589032,0,330.2,,,66.0036363636364,19.6997794392909,NaN
1998,"Finney","irrigated","Garden City","Silt Loam",,,1998-05-18,138,430663.221360896,0,0,0,381,,,38.8014634146341,9.57332558753112,NaN
1998,"Franklin","dryland","Ottawa","Silt Loam",,,1998-05-14,134,344530.577088717,0,0,0,0,,,42.28384,4.01029215893306,NaN
1998,"Republic","dryland","Belleville","Silt Loam",,,1998-05-14,134,430663.221360896,33.6255,14.6741682,0,0,,,37.2971698113208,4.81128416304137,NaN
1998,"Republic","irrigated","Scandia","Silt Loam",,,1998-05-12,132,516795.865633075,33.6255,14.6741682,0,195.58,,,61.1723076923077,4.31106382254442,NaN
1998,"Shawnee","irrigated","Topeka","Silt Loam",,,1998-05-05,125,301464.254952627,0,0,0,190.5,,,60.1881553398058,5.82879864317612,NaN
1998,"Thomas","irrigated","Colby","Silt Loam",,,1998-05-19,139,387596.899224806,33.6255,7.3370841,0,228.6,,,66.3374509803922,5.08398931672255,NaN
1999,"Franklin","dryland","Ottawa","Silt Loam",,,1999-06-09,160,344530.577088717,0,0,0,0,,,40.3184251968504,3.3337919744465,NaN
1999,"Greeley","dryland","Tribune","Silt Loam",,,1999-06-01,152,344530.577088717,89.668,0,0,0,,,24.0725,3.83354600859309,NaN
1999,"Harvey","dryland","Hesston","Silt Loam",,,1999-05-13,133,344530.577088717,0,0,0,0,,,18.4404255319149,4.73430330396826,NaN
1999,"Republic","dryland","Belleville","Silt Loam",,,1999-05-27,147,430663.221360896,0,0,0,0,,,44.395,5.26202784457067,NaN
1999,"Republic","irrigated","Scandia","Silt Loam",,,1999-05-22,142,516795.865633075,0,0,0,203.2,,,71.4841747572816,3.13304416404658,NaN
1999,"Shawnee","irrigated","Topeka","Silt Loam",,,1999-05-19,139,301464.254952627,0,0,0,228.6,,,63.8867857142857,7.68088879221361,NaN
1999,"Thomas","irrigated","Colby","Silt Loam",,,1999-05-21,141,387596.899224806,6.7251,9.7827788,0,228.6,,,68.9207843137255,6.51021807411618,NaN
2000,"Finney","irrigated","Garden City","Silt Loam",,,2000-05-19,140,495262.70456503,0,0,0,406.4,,,51.8606060606061,10.6197331385837,NaN
2000,"Franklin","dryland","Ottawa","Silt Loam",,,2000-05-16,137,322997.416020672,0,0,0,0,,,14.05859375,2.30721317882831,NaN
2000,"Greeley","dryland","Tribune","Silt Loam",,,2000-05-12,133,344530.577088717,112.085,0,0,0,,,11.5928571428571,1.2633680782333,NaN
2000,"Harvey","dryland","Hesston","Ladysmith silty clay loam",,,2000-05-05,126,344530.577088717,0,0,0,0,,,18.9617283950617,3.2732082083651,NaN
2000,"Republic","irrigated","Scandia","Silt Loam",,,2000-05-04,125,430663.221360896,0,0,0,330.2,,,61.2563829787234,10.2771754467645,NaN
2000,"Shawnee","irrigated","Topeka","Silt Loam",,,,,301464.254952627,0,0,0,262.382,,,40.5225225225225,4.84232635084878,NaN
2000,"Thomas","irrigated","Colby","Keith silt loam",,,2000-05-15,136,301464.254952627,10.08765,14.6741682,0,381,,,47.6792452830189,4.94272419788638,NaN
2001,"Finney","irrigated","Garden City","Elysses silt loam",,,2001-06-06,157,430663.221360896,0,0,0,406.4,,,50.473606557377,7.35060995944937,2001-10-03
2001,"Franklin","dryland","Ottawa","Silt Loam",,,2001-05-25,145,344530.577088717,0,0,0,0,,,29.2527272727273,5.41221416968281,2001-10-04
2001,"Greeley","dryland","Tribune","Silt Loam",,,2001-05-23,143,344530.577088717,112.085,7.3370841,0,0,,,17.2808333333333,5.22331914387661,2001-09-21
2001,"Harvey","dryland","Hesston","Irwin silty clay loam",,,2001-05-22,142,344530.577088717,0,0,0,0,,,19.7427777777778,3.57602234853834,2001-10-11
2001,"Republic","irrigated","Scandia","Silt Loam",,,2001-05-15,135,430663.221360896,0,0,0,355.6,,,62.6436559139785,5.0866788483651,2001-10-05
2001,"Shawnee","irrigated","Topeka","Silt Loam",,,2001-05-14,134,344530.577088717,13.4502,19.5655576,0,124.46,,,65.3238461538461,5.38452304072221,2001-10-05
2001,"Thomas","irrigated","Colby","Keith silt loam",,,2001-05-15,135,387596.899224806,56.0425,14.6741682,0,584.2,,,63.4608888888889,5.89429455344983,2001-09-26
2002,"Finney","irrigated","Garden City","Ulysses silt loam",,,2002-05-07,127,430663.221360896,0,0,0,609.6,,,53.4573170731707,10.1796439093885,2002-09-23
2002,"Franklin","dryland","Ottawa","Woodson silt loam",,,2002-05-22,142,344530.577088717,0,0,116.3064013125,0,2002-09-30,273,13.40504,3.03226350672127,2002-09-19
2002,"Harvey","dryland","Hesston","Ladysmith silty clay loam",,,2002-06-11,162,344530.577088717,0,0,0,0,2002-10-10,283,21.1171875,3.18568348488562,2002-09-30
2002,"Republic","irrigated","Scandia","Crete silt loam",,,2002-05-08,128,430663.221360896,11.2085,16.63072396,0,330.2,2002-10-10,283,61.7353623188406,7.44989292850617,2002-10-06
