YEAR,LOC,STATE,COUNTY_CITY,LINE,BRAND,NAME,YIELD,WATER_REGIME,TYPE
2004,ALM,AL,MERIDIANVILLE,Maestro,NPZ,MAESTRO,46,Unknown,H
2004,ALM,AL,MERIDIANVILLE,Plainsman,K-STATE,PLAINSMAN,50,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC90016-PR377,UARK,ARC90016-PR377,48,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Abilene,K-STATE,ABILENE,51,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Wichita,SW,SW 013121,56,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Viking,MONSANTO,DKW13-54,62,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS2427,K-STATE,KS2427,33,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Wotan,SW,SW 013173,47,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Talent,K-STATE,SUMNER,49,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Kiowa,K-STATE,KIOWA,63,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Kronos,NPZ,KRONOS,60,Unknown,H
2004,ALM,AL,MERIDIANVILLE,Banjo,NPZ,BANJO,57,Unknown,H
2004,ALM,AL,MERIDIANVILLE,Virginia,MONSANTO,DKW13-86,59,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS8367,K-STATE,KS8367,45,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC91019-50-E2,UARK,ARC91019-50-E2,47,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Jetton,NPZ,JETTON,55,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Casino,SW,CASINO,49,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Titan,MONSANTO,DKW13-62,55,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS9124,K-STATE,KS9124,41,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,VSX-2,SW,SW 013022,60,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC92004-1,UARK,ARC92004-1,47,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS9183,K-STATE,KS9183,40,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Ceres,NPZ,CERES,40,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Rasmus,NPZ,RASMUS,62,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS7436,K-STATE,KS7436,45,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC92007-2,UARK,ARC92007-2,50,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Abilene,K-STATE,ABILENE,54,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Viking,MONSANTO,DKW13-54,60,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS7436,K-STATE,KS7436,41,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Wichita,SW,SW 013121,54,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS9124,K-STATE,KS9124,61,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Talent,K-STATE,SUMNER,51,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS2427,K-STATE,KS2427,31,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Casino,SW,CASINO,54,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Banjo,NPZ,BANJO,61,Unknown,H
2004,ALM,AL,MERIDIANVILLE,ARC90016-PR377,UARK,ARC90016-PR377,58,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC92004-1,UARK,ARC92004-1,55,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS8367,K-STATE,KS8367,48,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Kronos,NPZ,KRONOS,52,Unknown,H
2004,ALM,AL,MERIDIANVILLE,Maestro,NPZ,MAESTRO,41,Unknown,H
2004,ALM,AL,MERIDIANVILLE,Rasmus,NPZ,RASMUS,67,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,VSX-2,SW,SW 013022,58,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Ceres,NPZ,CERES,41,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Kiowa,K-STATE,KIOWA,51,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC91019-50-E2,UARK,ARC91019-50-E2,47,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Wotan,SW,SW 013173,54,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Titan,MONSANTO,DKW13-62,65,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Virginia,MONSANTO,DKW13-86,64,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Jetton,NPZ,JETTON,62,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Plainsman,K-STATE,PLAINSMAN,53,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC92007-2,UARK,ARC92007-2,34,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS9183,K-STATE,KS9183,47,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Kronos,NPZ,KRONOS,54,Unknown,H
2004,ALM,AL,MERIDIANVILLE,Viking,MONSANTO,DKW13-54,65,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Kiowa,K-STATE,KIOWA,60,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Virginia,MONSANTO,DKW13-86,70,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS9124,K-STATE,KS9124,56,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Ceres,NPZ,CERES,39,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS2427,K-STATE,KS2427,32,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,VSX-2,SW,SW 013022,60,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC90016-PR377,UARK,ARC90016-PR377,50,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Jetton,NPZ,JETTON,69,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Rasmus,NPZ,RASMUS,73,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Talent,K-STATE,SUMNER,46,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Wichita,SW,SW 013121,56,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS9183,K-STATE,KS9183,43,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Wotan,SW,SW 013173,44,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Titan,MONSANTO,DKW13-62,59,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Casino,SW,CASINO,44,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,KS8367,K-STATE,KS8367,54,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC92007-2,UARK,ARC92007-2,35,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Abilene,K-STATE,ABILENE,37,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Maestro,NPZ,MAESTRO,47,Unknown,H
2004,ALM,AL,MERIDIANVILLE,ARC92004-1,UARK,ARC92004-1,24,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Plainsman,K-STATE,PLAINSMAN,48,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,ARC91019-50-E2,UARK,ARC91019-50-E2,53,Unknown,OP
2004,ALM,AL,MERIDIANVILLE,Banjo,NPZ,BANJO,61,Unknown,H
2004,ALM,AL,MERIDIANVILLE,KS7436,K-STATE,KS7436,50,Unknown,OP
2004,ARM,AR,MARIANNA,DKW13-62,K-STATE,SUMNER,76,Unknown,OP
2004,ARM,AR,MARIANNA,ARC92007-2,UARK,ARC92007-2,88,Unknown,OP
2004,ARM,AR,MARIANNA,Viking,NPZ,TITAN,97,Unknown,H
2004,ARM,AR,MARIANNA,Maestro,NPZ,MAESTRO,82,Unknown,H
2004,ARM,AR,MARIANNA,KS8367,K-STATE,KS8367,51,Unknown,OP
2004,ARM,AR,MARIANNA,KS9124,K-STATE,KS9124,33,Unknown,OP
2004,ARM,AR,MARIANNA,Talent,SW,SW 013253,88,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013211,SW,SW 013173,86,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013022,MONSANTO,DKW13-86,72,Unknown,OP
2004,ARM,AR,MARIANNA,Rasmus,NPZ,RASMUS,99,Unknown,OP
2004,ARM,AR,MARIANNA,Abilene,K-STATE,ABILENE,69,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013173,SW,SW 013121,68,Unknown,OP
2004,ARM,AR,MARIANNA,KS2427,K-STATE,KS2427,59,Unknown,OP
2004,ARM,AR,MARIANNA,Plainsman,K-STATE,PLAINSMAN,67,Unknown,OP
2004,ARM,AR,MARIANNA,ARC90016-PR377,UARK,ARC90016-PR377,92,Unknown,OP
2004,ARM,AR,MARIANNA,DKW13-54,MONSANTO,DKW13-62,57,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013253,SW,SW 013211,68,Unknown,OP
2004,ARM,AR,MARIANNA,Jetton,NPZ,JETTON,89,Unknown,OP
2004,ARM,AR,MARIANNA,VSX-2,VSU,VIRGINIA,93,Unknown,OP
2004,ARM,AR,MARIANNA,Kiowa,K-STATE,KIOWA,64,Unknown,OP
2004,ARM,AR,MARIANNA,ARC91019-50-E2,UARK,ARC91019-50-E2,59,Unknown,OP
2004,ARM,AR,MARIANNA,Ceres,NPZ,CERES,68,Unknown,OP
2004,ARM,AR,MARIANNA,ARC92004-1,UARK,ARC92004-1,66,Unknown,OP
2004,ARM,AR,MARIANNA,Kronos,NPZ,KRONOS,70,Unknown,H
2004,ARM,AR,MARIANNA,Wichita,VSU,VSX-2,60,Unknown,OP
2004,ARM,AR,MARIANNA,Casino,SW,CASINO,52,Unknown,OP
2004,ARM,AR,MARIANNA,DKW13-86,MONSANTO,DKW13-54,66,Unknown,OP
2004,ARM,AR,MARIANNA,Wotan,K-STATE,WICHITA,46,Unknown,OP
2004,ARM,AR,MARIANNA,Virginia,NPZ,VIKING,82,Unknown,H
2004,ARM,AR,MARIANNA,KS7436,K-STATE,KS7436,69,Unknown,OP
2004,ARM,AR,MARIANNA,Banjo,NPZ,BANJO,80,Unknown,H
2004,ARM,AR,MARIANNA,SW 013121,SW,SW 013022,49,Unknown,OP
2004,ARM,AR,MARIANNA,KS9183,K-STATE,KS9183,73,Unknown,OP
2004,ARM,AR,MARIANNA,Titan,NPZ,TALENT,71,Unknown,H
2004,ARM,AR,MARIANNA,SW 013253,SW,SW 013211,71,Unknown,OP
2004,ARM,AR,MARIANNA,DKW13-86,MONSANTO,DKW13-54,70,Unknown,OP
2004,ARM,AR,MARIANNA,Titan,NPZ,TALENT,76,Unknown,H
2004,ARM,AR,MARIANNA,KS7436,K-STATE,KS7436,84,Unknown,OP
2004,ARM,AR,MARIANNA,Kronos,NPZ,KRONOS,84,Unknown,H
2004,ARM,AR,MARIANNA,Virginia,NPZ,VIKING,106,Unknown,H
2004,ARM,AR,MARIANNA,ARC91019-50-E2,UARK,ARC91019-50-E2,91,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013211,SW,SW 013173,54,Unknown,OP
2004,ARM,AR,MARIANNA,ARC92004-1,UARK,ARC92004-1,92,Unknown,OP
2004,ARM,AR,MARIANNA,Jetton,NPZ,JETTON,98,Unknown,OP
2004,ARM,AR,MARIANNA,Viking,NPZ,TITAN,93,Unknown,H
2004,ARM,AR,MARIANNA,Maestro,NPZ,MAESTRO,72,Unknown,H
2004,ARM,AR,MARIANNA,ARC92007-2,UARK,ARC92007-2,85,Unknown,OP
2004,ARM,AR,MARIANNA,Talent,SW,SW 013253,92,Unknown,OP
2004,ARM,AR,MARIANNA,Casino,SW,CASINO,83,Unknown,OP
2004,ARM,AR,MARIANNA,Ceres,NPZ,CERES,83,Unknown,OP
2004,ARM,AR,MARIANNA,DKW13-54,MONSANTO,DKW13-62,46,Unknown,OP
2004,ARM,AR,MARIANNA,Wichita,VSU,VSX-2,78,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013173,SW,SW 013121,64,Unknown,OP
2004,ARM,AR,MARIANNA,Abilene,K-STATE,ABILENE,41,Unknown,OP
2004,ARM,AR,MARIANNA,Rasmus,NPZ,RASMUS,71,Unknown,OP
2004,ARM,AR,MARIANNA,ARC90016-PR377,UARK,ARC90016-PR377,67,Unknown,OP
2004,ARM,AR,MARIANNA,SW 013121,SW,SW 013022,54,Unknown,OP
2004,ARM,AR,MARIANNA,KS2427,K-STATE,KS2427,47,Unknown,OP
2004,ARM,AR,MARIANNA,Kiowa,K-STATE,KIOWA,77,Unknown,OP
2004,ARM,AR,MARIANNA,VSX-2,VSU,VIRGINIA,75,Unknown,OP
2004,ARM,AR,MARIANNA,KS8367,K-STATE,KS8367,51,Unknown,OP
2004,ARM,AR,MARIANNA,Wotan,K-STATE,WICHITA,34,Unknown,OP
2004,ARM,AR,MARIANNA,Plainsman,K-STATE,PLAINSMAN,56,Unknown,OP
2004,ARM,AR,MARIANNA,KS9124,K-STATE,KS9124,64,Unknown,OP
2004,ARM,AR,MARIANNA,Banjo,NPZ,BANJO,71,Unknown,H
2004,ARM,AR,MARIANNA,SW 013022,MONSANTO,DKW13-86,70,Unknown,OP
2004,ARM,AR,MARIANNA,KS9183,K-STATE,KS9183,71,Unknown,OP
2004,ARM,AR,MARIANNA,DKW13-62,K-STATE,SUMNER,68,Unknown,OP
2004,ARM,AR,MARIANNA,Jetton,NPZ,JETTON,88,Unknown,OP
