YEAR,LOC,STATE,COUNTY_CITY,BRAND,NAME,PCODE,YIELD,WATER_REGIME,PAVG,MOIST,TW,DAYS
1983,THD,KS,THOMAS,,XXX,1086,82,Dryland,102,11,57,62
1994,STD,KS,STAFFORD,,15,1695,90,Dryland,106,18,52,65
1994,STD,KS,STAFFORD,,12,1775,98,Dryland,115,17,52,63
1994,RND,KS,RENO,,135,1858,67,Dryland,79,14,56,66
1994,RND,KS,RENO,,150,1861,65,Dryland,78,13,58,66
1994,RND,KS,RENO,PAYMASTER,Apache,1256,73,Dryland,86,14,56,61
1994,STD,KS,STAFFORD,DELTAPINE,G-777W,1822,73,Dryland,86,16,57,57
1994,STD,KS,STAFFORD,MIDLAND VAR,,1436,83,Dryland,97,16,56,57
1994,STD,KS,STAFFORD,,10,1495,77,Dryland,91,16,52,56
1994,STD,KS,STAFFORD,FRONTIER,400C,1826,93,Dryland,109,17,52,54
1994,STD,KS,STAFFORD,,29,1862,91,Dryland,106,16,52,59
1994,RND,KS,RENO,,132,1554,83,Dryland,99,13,59,61
1994,HVD,KS,HARVEY,DEKALB,F-63,1790,106,Dryland,111,11,58,61
1994,STD,KS,STAFFORD,,75,1791,85,Dryland,100,15,55,55
1994,STD,KS,STAFFORD,,13,1823,75,Dryland,88,17,51,62
1994,STD,KS,STAFFORD,FRONTIER,411,1781,79,Dryland,93,18,53,54
1994,STD,KS,STAFFORD,HORIZON,78,1534,60,Dryland,71,15,55,57
1994,STD,KS,STAFFORD,FRONTIER,400D,1847,74,Dryland,86,16,54,54
1994,STD,KS,STAFFORD,,106,1797,94,Dryland,110,16,54,56
1994,STD,KS,STAFFORD,,107,1798,97,Dryland,113,16,55,58
1994,STD,KS,STAFFORD,MYCOGEN,66,1852,93,Dryland,109,17,53,55
1994,STD,KS,STAFFORD,,129,1856,90,Dryland,105,16,52,53
1994,STD,KS,STAFFORD,FRONTIER,413,1762,81,Dryland,95,16,56,60
1994,STD,KS,STAFFORD,,45,1703,89,Dryland,104,15,55,55
1994,STD,KS,STAFFORD,,30,1575,88,Dryland,104,14,55,59
1994,STD,KS,STAFFORD,,149,1860,89,Dryland,104,16,55,58
1994,STD,KS,STAFFORD,,101,1533,86,Dryland,100,16,56,63
1994,STD,KS,STAFFORD,,20,1496,73,Dryland,86,16,56,58
1994,STD,KS,STAFFORD,,23,1827,97,Dryland,114,18,51,64
1994,STD,KS,STAFFORD,,24,1828,91,Dryland,107,16,60,65
1994,STD,KS,STAFFORD,,40,1833,89,Dryland,105,15,56,63
1994,STD,KS,STAFFORD,,78,1710,101,Dryland,118,15,56,63
1994,STD,KS,STAFFORD,,84,1782,71,Dryland,83,15,56,60
1994,STD,KS,STAFFORD,,100,1662,80,Dryland,94,16,53,55
1994,STD,KS,STAFFORD,ASGROW,Red RaiderA,1666,80,Dryland,93,17,53,62
1994,STD,KS,STAFFORD,,120,1477,87,Dryland,102,18,51,56
1994,STD,KS,STAFFORD,ROYAL,RP-110,1748,80,Dryland,94,17,53,55
1994,STD,KS,STAFFORD,,102,1468,92,Dryland,108,15,55,60
1994,STD,KS,STAFFORD,PAYMASTER,Comanche,1820,77,Dryland,91,16,55,57
1994,STD,KS,STAFFORD,PAYMASTER,Kiowa,1033,71,Dryland,83,20,49,55
1994,STD,KS,STAFFORD,,5,1632,68,Dryland,80,17,55,65
1994,STD,KS,STAFFORD,MARTIN VAR,,1446,104,Dryland,122,16,53,61
1994,STD,KS,STAFFORD,,25,1829,78,Dryland,92,17,53,62
1994,STD,KS,STAFFORD,,36,1576,94,Dryland,111,17,55,64
1994,STD,KS,STAFFORD,PFISTER,PAG 515,1579,96,Dryland,113,15,57,60
1994,STD,KS,STAFFORD,KANSAS,KS 603,1597,73,Dryland,86,16,53,60
1994,STD,KS,STAFFORD,DEKALB,C-44b,1523,76,Dryland,89,16,56,65
1994,STD,KS,STAFFORD,,85,1732,84,Dryland,99,16,57,61
1994,STD,KS,STAFFORD,,87,1731,86,Dryland,101,15,57,62
1994,STD,KS,STAFFORD,,19,1636,63,Dryland,74,16,55,64
1994,STD,KS,STAFFORD,NORTHRUP KING,222,1859,73,Dryland,86,15,54,53
1994,STD,KS,STAFFORD,,146,1255,78,Dryland,91,18,51,55
1994,STD,KS,STAFFORD,,8,1774,95,Dryland,112,17,53,65
1994,ELD,KS,ELLIS,,69,1331,136,Dryland,111,12,60,73
1994,ELD,KS,ELLIS,,70,1658,107,Dryland,87,11,58,70
1994,ELD,KS,ELLIS,,87,1731,124,Dryland,101,12,59,69
1994,ELD,KS,ELLIS,,120,1477,128,Dryland,105,12,60,64
1994,ELD,KS,ELLIS,FRONTIER,23X Exp,1813,84,Dryland,68,12,58,71
1994,ELD,KS,ELLIS,,18,1825,119,Dryland,97,11,59,64
