YEAR,LOC,STATE,COUNTY_CITY,BRAND,NAME,PCODE,YIELD,WATER_REGIME
1991,THI,KS,THOMAS,DEKALB,CX329,0,68,Irrigated
1992,RPI,KS,REPUBLIC,PIONEER,9381,941,58,Irrigated
1992,RPD,KS,REPUBLIC,MIDLAND,8343,1109,60,Dryland
1992,RPD,KS,REPUBLIC,MIDLAND,8393,1110,60,Dryland
1992,RPD,KS,REPUBLIC,STAR,3058,1127,56,Dryland
1992,RPD,KS,REPUBLIC,STAR,GALAXY,1128,60,Dryland
1992,RPD,KS,REPUBLIC,WILLCROSS,92A,1137,60,Dryland
1992,RPD,KS,REPUBLIC,WILLCROSS,92B,1138,58,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,K1200,1140,56,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,K1210,1141,60,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,K1213,1143,57,Dryland
1992,RPI,KS,REPUBLIC,PUBLIC,WILLIAMS 82,306,57,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,SHERMAN,614,64,Irrigated
1992,RPI,KS,REPUBLIC,DEKALB,CX366,625,55,Irrigated
1992,RPI,KS,REPUBLIC,ASGROW,A3935,662,56,Irrigated
1992,RPI,KS,REPUBLIC,NORTHRUP KING,S44-77,687,55,Irrigated
1992,RPI,KS,REPUBLIC,HOEGEMEYER,395,749,56,Irrigated
1992,RPI,KS,REPUBLIC,NORTHRUP KING,S36-36,760,58,Irrigated
1992,RPI,KS,REPUBLIC,MIDLAND,8340,768,56,Irrigated
1992,RPD,KS,REPUBLIC,MCCURDY,393,1106,51,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,EDISON,1079,60,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,K1190,1070,56,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,CORSICA,1069,53,Dryland
1992,RPD,KS,REPUBLIC,NORTHRUP KING,S44-77,687,55,Dryland
1992,RPD,KS,REPUBLIC,NORTHRUP KING,S36-36,760,52,Dryland
1992,RPD,KS,REPUBLIC,MIDLAND,8340,768,55,Dryland
1992,RPD,KS,REPUBLIC,STAR,BUCHANAN,771,57,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,RESNIK,825,62,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,FLYER,892,54,Dryland
1992,RPD,KS,REPUBLIC,MIDLAND,8370,935,57,Dryland
1992,RPD,KS,REPUBLIC,PIONEER,9301,936,56,Dryland
1992,RPI,KS,REPUBLIC,STAR,BUCHANAN,771,57,Irrigated
1992,RPD,KS,REPUBLIC,PIONEER,9302,937,59,Dryland
1992,RPD,KS,REPUBLIC,PIONEER,9381,941,58,Dryland
1992,RPD,KS,REPUBLIC,STAR,EXPRESS,946,57,Dryland
1992,RPD,KS,REPUBLIC,MIDLAND,8410,976,60,Dryland
1992,RPD,KS,REPUBLIC,NORTHRUP KING,S29-39,996,57,Dryland
1992,RPD,KS,REPUBLIC,NECO,7392,1018,61,Dryland
1992,RPD,KS,REPUBLIC,WILLCROSS,90,1040,54,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,KENWOOD,1063,56,Dryland
1992,RPD,KS,REPUBLIC,PUBLIC,K1164,1066,58,Dryland
1992,RPD,KS,REPUBLIC,PIONEER,9341,939,63,Dryland
1992,RPD,KS,REPUBLIC,ASGROW,A3935,662,56,Dryland
1992,RPI,KS,REPUBLIC,WILSON,3165,794,57,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,FLYER,892,54,Irrigated
1992,RPI,KS,REPUBLIC,GOLDEN HARVEST,H-1407,1043,58,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,KENWOOD,1063,56,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,K1164,1066,58,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,CORSICA,1069,55,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,K1190,1070,54,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,K1191,1071,56,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,EDISON,1079,58,Irrigated
1992,RPI,KS,REPUBLIC,ASGROW,A3431,1082,57,Irrigated
1992,RPI,KS,REPUBLIC,WILLCROSS,90,1040,54,Irrigated
1992,RPI,KS,REPUBLIC,DEKALB,CX404,1086,58,Irrigated
1992,RPI,KS,REPUBLIC,GOLDEN HARVEST,H-1353,1090,56,Irrigated
1992,RPI,KS,REPUBLIC,HOEGEMEYER,350,1095,55,Irrigated
1992,RPI,KS,REPUBLIC,HOEGEMEYER,365,1096,59,Irrigated
1992,RPI,KS,REPUBLIC,HYPERFORMER,HSC 339,1098,54,Irrigated
1992,RPI,KS,REPUBLIC,HYPERFORMER,HSC 398,1099,61,Irrigated
1992,RPI,KS,REPUBLIC,MIDLAND,8343,1109,58,Irrigated
1992,RPI,KS,REPUBLIC,MIDLAND,8393,1110,62,Irrigated
1992,RPI,KS,REPUBLIC,MIDLAND,8413,1111,62,Irrigated
1992,RPI,KS,REPUBLIC,DELTAPINE,DP3375,1087,55,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,RESNIK,825,55,Irrigated
1992,RPI,KS,REPUBLIC,STINE,3260,1036,61,Irrigated
1992,RPI,KS,REPUBLIC,OHLDE,3750A,1022,58,Irrigated
1992,RPI,KS,REPUBLIC,TRIUMPH,TR 290,901,54,Irrigated
1992,RPI,KS,REPUBLIC,GOLDEN HARVEST,H-1308,909,54,Irrigated
1992,RPI,KS,REPUBLIC,NC+,3A81,926,55,Irrigated
1992,RPI,KS,REPUBLIC,NC+,3M28,928,57,Irrigated
1992,RPI,KS,REPUBLIC,MIDLAND,8370,935,54,Irrigated
1992,RPI,KS,REPUBLIC,PIONEER,9303,938,61,Irrigated
1992,RPI,KS,REPUBLIC,PIONEER,9341,939,56,Irrigated
1992,RPI,KS,REPUBLIC,STAR,EXPRESS,946,58,Irrigated
1992,RPI,KS,REPUBLIC,PIONEER,9311,1032,63,Irrigated
1992,RPI,KS,REPUBLIC,TRIUMPH,T 387,958,55,Irrigated
1992,RPI,KS,REPUBLIC,MIDLAND,8410,976,56,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,KUNITZ,984,56,Irrigated
1992,RPI,KS,REPUBLIC,NORTHRUP KING,S29-39,996,58,Irrigated
1992,RPI,KS,REPUBLIC,DEKALB,CX329,1003,56,Irrigated
1992,RPI,KS,REPUBLIC,HOEGEMEYER,368,1012,55,Irrigated
1992,RPI,KS,REPUBLIC,HYPERFORMER,HSC 355,1015,57,Irrigated
1992,RPI,KS,REPUBLIC,HYPERFORMER,HSC 317,1016,62,Irrigated
1992,RPI,KS,REPUBLIC,NECO,7392,1018,61,Irrigated
1992,RPI,KS,REPUBLIC,NC+,4A46,973,57,Irrigated
1992,RPI,KS,REPUBLIC,STAR,3058,1127,52,Irrigated
1992,RPD,KS,REPUBLIC,PUBLIC,WILLIAMS 82,306,54,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1210,1141,32,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,DELSOY 4900,1076,37,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,RHODES,1077,32,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,FAYETTE,1078,45,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,EDISON,1079,42,Dryland
1992,FRD,KS,FRANKLIN,DEKALB,CX404,1086,49,Dryland
1992,FRD,KS,FRANKLIN,DELTAPINE,DP3375,1087,46,Dryland
1992,FRD,KS,FRANKLIN,FONTANELLE,5621,1088,48,Dryland
1992,FRD,KS,FRANKLIN,FONTANELLE,6100,1089,49,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,DELSOY 4500,1075,44,Dryland
1992,FRD,KS,FRANKLIN,GOLDEN HARVEST,H-1353,1090,47,Dryland
1992,FRD,KS,FRANKLIN,HOEGEMEYER,380,1097,45,Dryland
1992,FRD,KS,FRANKLIN,MCCURDY,393,1106,44,Dryland
1992,FRD,KS,FRANKLIN,MCCURDY,450,1107,43,Dryland
1992,FRD,KS,FRANKLIN,MERSCHMAN,COOLIDGE,1108,46,Dryland
1992,FRD,KS,FRANKLIN,MIDLAND,8343,1109,45,Dryland
1992,FRD,KS,FRANKLIN,MIDLAND,8393,1110,48,Dryland
1992,FRD,KS,FRANKLIN,MIDLAND,8413,1111,54,Dryland
1992,FRD,KS,FRANKLIN,OHLDE,3374,1119,46,Dryland
1992,FRD,KS,FRANKLIN,HAMON,392,1094,46,Dryland
1992,FRD,KS,FRANKLIN,STAR,3058,1127,41,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,LINFORD,1074,41,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1170,1072,41,Dryland
1992,FRD,KS,FRANKLIN,OHLDE,3750A,1022,47,Dryland
1992,FRD,KS,FRANKLIN,OHLDE,3500,1023,47,Dryland
1992,FRD,KS,FRANKLIN,TAYLOR,399,1037,49,Dryland
1992,FRD,KS,FRANKLIN,WILLCROSS,90,1040,46,Dryland
1992,FRD,KS,FRANKLIN,ASGROW,A4715,1041,46,Dryland
1992,FRD,KS,FRANKLIN,GOLDEN HARVEST,H-1407,1043,48,Dryland
1992,FRD,KS,FRANKLIN,HOEGEMEYER,401,1044,51,Dryland
1992,FRD,KS,FRANKLIN,MERSCHMAN,AUSTIN,1047,49,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1192,1073,42,Dryland
1992,FRD,KS,FRANKLIN,MERSCHMAN,NORFOLK,1048,49,Dryland
1992,FRD,KS,FRANKLIN,OHLDE,4040,1054,48,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,KENWOOD,1063,41,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1164,1066,46,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,DELSOY 4210,1067,43,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,MANOKIN,1068,41,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,CORSICA,1069,44,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1190,1070,47,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1191,1071,48,Dryland
1992,FRD,KS,FRANKLIN,NC+,4A10,1049,49,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1213,1143,32,Dryland
1992,FRD,KS,FRANKLIN,STAR,GALAXY,1128,48,Dryland
1992,FRD,KS,FRANKLIN,TERRA,TS402,1134,49,Dryland
1992,HVD,KS,HARVEY,NC+,3M28,928,31,Dryland
1992,HVD,KS,HARVEY,PIONEER,9381,941,32,Dryland
1992,HVD,KS,HARVEY,DELTAPINE,DP3456,965,29,Dryland
1992,HVD,KS,HARVEY,MIDLAND,8410,976,35,Dryland
1992,HVD,KS,HARVEY,OHLDE,3750A,1022,28,Dryland
1992,HVD,KS,HARVEY,OHLDE,3500,1023,31,Dryland
1992,HVD,KS,HARVEY,PIONEER,9392,1031,34,Dryland
1992,HVD,KS,HARVEY,NC+,4A10,1049,35,Dryland
1992,HVD,KS,HARVEY,NC+,3A81,926,32,Dryland
1992,HVD,KS,HARVEY,PUBLIC,KENWOOD,1063,33,Dryland
1992,HVD,KS,HARVEY,PUBLIC,CORSICA,1069,30,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1190,1070,26,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1191,1071,30,Dryland
1992,HVD,KS,HARVEY,PUBLIC,EDISON,1079,33,Dryland
1992,HVD,KS,HARVEY,ASGROW,A4595,1084,26,Dryland
1992,HVD,KS,HARVEY,DELTAPINE,DP3375,1087,25,Dryland
1992,HVD,KS,HARVEY,STINE,3390,1129,32,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1200,1140,34,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1164,1066,33,Dryland
1992,FRD,KS,FRANKLIN,STINE,4350,1130,44,Dryland
1992,HVD,KS,HARVEY,PUBLIC,FLYER,892,32,Dryland
1992,HVD,KS,HARVEY,DELANGE,DS 455,798,28,Dryland
1992,FRD,KS,FRANKLIN,WILDCAT,GDI,1136,45,Dryland
1992,FRD,KS,FRANKLIN,WILLCROSS,92A,1137,52,Dryland
1992,FRD,KS,FRANKLIN,WILLCROSS,92B,1138,51,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1200,1140,42,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1210,1141,43,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1212,1142,47,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1213,1143,50,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1216,1144,40,Dryland
1992,HVD,KS,HARVEY,PUBLIC,RESNIK,825,36,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1218,1145,47,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,HAMILTON,1147,45,Dryland
