YEAR,LOC,BRAND,NAME,YIELD,DAYS,COUNTY,WATER_REGIME
1998,GRDO,MYCOGEN SEEDS,CAVALRY,2580.0,63.0,GREELEY,Dryland
1998,GRDO,DEKALB,DK 3790,1929.0,58.0,GREELEY,Dryland
1998,GRDO,AGRIPRO SEEDS INC.,AP 3470,1972.0,59.0,GREELEY,Dryland
1998,GRDO,DEKALB,DK 3868,2141.0,61.0,GREELEY,Dryland
1998,GRDO,DEKALB,DK 3875,2290.0,62.0,GREELEY,Dryland
1998,GRDO,DEKALB,DK 3881,2370.0,62.0,GREELEY,Dryland
1998,GRDO,DEKALB,DK 3900,1900.0,65.0,GREELEY,Dryland
1998,GRDO,INTERSTATE PAYCO SEED,HYSUN 449,2288.0,62.0,GREELEY,Dryland
1998,GRDO,INTERSTATE PAYCO SEED,IS 6077,2060.0,59.0,GREELEY,Dryland
1998,GRDO,INTERSTATE PAYCO SEED,IS 6767,2846.0,61.0,GREELEY,Dryland
1998,GRDO,INTERSTATE PAYCO SEED,IS 4049,2206.0,63.0,GREELEY,Dryland
1998,GRDO,KAYSTAR SEED,9501,2194.0,63.0,GREELEY,Dryland
1998,GRDO,CARGILL,X 3272,1857.0,58.0,GREELEY,Dryland
1998,GRDO,MYCOGEN SEEDS,8488NS,2285.0,62.0,GREELEY,Dryland
1998,GRDO,CARGILL,X 6007,2058.0,60.0,GREELEY,Dryland
1998,GRDO,NORVARTIS,NK231,2648.0,57.0,GREELEY,Dryland
1998,GRDO,NORVARTIS,NK278,2308.0,62.0,GREELEY,Dryland
1998,GRDO,NORVARTIS,T45-L2,1887.0,62.0,GREELEY,Dryland
1998,GRDO,PIONEER,6300,2352.0,60.0,GREELEY,Dryland
1998,GRDO,PIONEER,6338,1448.0,63.0,GREELEY,Dryland
1998,GRDO,PIONEER,63A51,2458.0,58.0,GREELEY,Dryland
1998,GRDO,PIONEER,6451,2212.0,63.0,GREELEY,Dryland
1998,GRDO,TRIUMPH  SEED CO.,TRIUMPH 540,2439.0,57.0,GREELEY,Dryland
1998,GRDO,TRIUMPH  SEED CO.,TRIUMPH 562,2289.0,60.0,GREELEY,Dryland
1998,GRDO,TRIUMPH  SEED CO.,TRIUMPH 573,2013.0,63.0,GREELEY,Dryland
1998,GRDO,TRIUMPH  SEED CO.,TRIUMPH 642,2190.0,68.0,GREELEY,Dryland
1998,GRDO,KAYSTAR SEED,EX 88900,1807.0,62.0,GREELEY,Dryland
1998,GRDO,CARGILL,SF 290 NL,2642.0,61.0,GREELEY,Dryland
1998,GRDO,CARGILL,SF 270,1856.0,55.0,GREELEY,Dryland
1998,GRDO,CARGILL,SF 187,1958.0,62.0,GREELEY,Dryland
1998,GRDO,ASGROW SEED,AS6305,1633.0,63.0,GREELEY,Dryland
1998,GRDO,ASGROW SEED,AS5303,2274.0,57.0,GREELEY,Dryland
1998,GRDO,ASGROW SEED,AS5101,2639.0,57.0,GREELEY,Dryland
1998,GRDO,ASGROW SEED,AS3211,1584.0,57.0,GREELEY,Dryland
1998,GRDO,AGRIPRO SEEDS INC.,AP 4193,2148.0,63.0,GREELEY,Dryland
1998,GRDO,DEKALB,DK 3806,1528.0,58.0,GREELEY,Dryland
1998,GRDO,CARGILL,X 3210,2019.0,57.0,GREELEY,Dryland
1999,GRDC,Agway,Royal Hybrid 2373,2478.3,59.5,GREELEY,Dryland
1999,GRDC,Agway,Royal Hybrid 2073,2175.8,59.0,GREELEY,Dryland
1999,GRDC,Interstate Seed,IS 8048,2263.0,57.0,GREELEY,Dryland
1999,GRDC,Triumph Seed Co.,TRIUMPH 765C,2256.3,58.8,GREELEY,Dryland
1999,GRDC,Triumph Seed Co.,TRIUMPH 766CRT,1638.8,60.3,GREELEY,Dryland
1999,GRDO,Agripro Seeds Inc.,ST X2135,2109.25,65.5,GREELEY,Dryland
1999,GRDO,Agripro Seeds Inc.,AP 3470,2743.0,59.5,GREELEY,Dryland
1999,GRDO,Cargill,SF 120,2186.25,57.5,GREELEY,Dryland
1999,GRDO,Cargill,SF 125NL,1720.25,58.5,GREELEY,Dryland
1999,GRDO,Cargill,SF 187,2609.5,60.25,GREELEY,Dryland
1999,GRDO,Cargill,SF 260,2358.5,59.5,GREELEY,Dryland
1999,GRDO,Cargill,SF 270,2361.5,56.75,GREELEY,Dryland
1999,GRDO,Cargill,SF 290NL,2458.75,59.75,GREELEY,Dryland
