YEAR,LOC,COUNTY,CITY,LOCATION
1995,SUD,SUMNER,Caldwell,
1995,RND,RENO,Hutchinson,
1995,FNI,FINNEY,Garden City,
1995,STI,STAFFORD,St. John,
1995,THI,THOMAS,Colby,
1995,GRI,GREELEY,Tribune,
1995,RPD,REPUBLIC,Belleville,
1995,GRD,GREELEY,Tribune,
1995,RLD,RILEY,Manhattan,
1995,FRD,FRANKLIN,Ottawa,
1995,LBD,LABETTE,Parsons,
1995,HVD,HARVEY,Hesston,
1995,STD,STAFFORD,St. John,
1995,ELDF,ELLIS,Hays,
1995,THD,THOMAS,Colby,
1995,BRD,BROWN,Powhattan,Cornbelt Experiment Field (BR)
1995,FND,FINNEY,Garden City,
1996,GRI,GREELEY,Tribune,SW Res-Ext Ctr (GI)
1996,THI,THOMAS,Colby,NW Res-Ext Ctr (TI)
1996,THD,THOMAS,Colby,NW Res-Ext Cter (TD)
1996,RND,RENO,Hutchinson,SC KS Experiment Field (RN)
1996,HVD,HARVEY,Hesston,Harvey Co Expt Field (HV)
1996,RPD,REPUBLIC,Belleville,NC KS Experiment Field (RP)
1997,LBD,LABETTE,Parsons,SE Agric Res Ctr (LB)
1997,BRD,BROWN,Powhattan,Cornbelt Experiment Field (BR)
1997,GRD,GREELEY,Tribune,SW Res-Ext Ctr (GD)
1997,THI,THOMAS,Colby,NW Res-Ext Ctr (TI)
1997,THD,THOMAS,Colby,NW Res-Ext Cter (TD)
1997,RND,RENO,Hutchinson,SC KS Experiment Field (RN)
1997,HVD,HARVEY,Hesston,Harvey Co Expt Field (HV)
1997,RPD,REPUBLIC,Belleville,NC KS Experiment Field (RP)
1997,FRD,FRANKLIN,Ottawa,EC KS Experiment Field (FR)
1997,GRI,GREELEY,Tribune,SW Res-Ext Ctr (GI)
1997,FND,FINNEY,Garden City,SW Res-Ext Ctr (FD)
1997,ELDF,ELLIS,Hays,Agric Res Ctr - Hays
1998,FNI,FINNEY,Garden City,SW Res-Ext Ctr (FI)
1998,STD,STAFFORD,St. John,Sandyland Expt Field (SD)
1998,SVI,STEVENS,Hugoton,Jim Kramer Farm
1998,FND,FINNEY,Garden City,SW Res-Ext Ctr (FD)
1998,GRD,GREELEY,Tribune,SW Res-Ext Ctr (GD)
1998,THI,THOMAS,Colby,NW Res-Ext Ctr (TI)
1998,SUD,SUMNER,Caldwell,Max Kolarik Farm (SU)
1998,RND,RENO,Hutchinson,SC KS Experiment Field (RN)
1998,HVD,HARVEY,Hesston,Harvey Co Expt Field (HV)
1998,ELDF,ELLIS,Hays,Agric Res Ctr - Hays
1998,RPD,REPUBLIC,Belleville,NC KS Experiment Field (RP)
1998,LBD,LABETTE,Parsons,SE Agric Res Ctr (LB)
1998,FRD,FRANKLIN,Ottawa,EC KS Experiment Field (FR)
1998,RLD,RILEY,Manhattan,Ashland Agronomy Farm (RL)
1998,BRD,BROWN,Powhattan,Cornbelt Experiment Field (BR)
1998,THD,THOMAS,Colby,NW Res-Ext Cter (TD)
