YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1982,BRD,,,41.97,60,,144,42
1982,BRD,,,44.71,55.75,,143.75,40
1982,BRD,,,40.32,55,,142.25,36
1982,BRD,,,40.66,58.75,,140.25,41.75
1982,BRD,,,35.93,56,,142.75,42.75
1982,BRD,,,46.57,56,,143,37.75
1982,BRD,,,33.24,55,,143.5,39
1982,BRD,,,31.56,52.75,,144.25,36.75
1982,BRD,,,41.14,56.75,,143.5,42.75
1982,BRD,,,48.2,57,,141,36.75
1982,BRD,,,38.36,55.8,,143.34,39.92
1982,BRD,,,40.82,55.75,,142.25,40.5
1982,BRD,,,33.59,54,,144.25,43.25
1982,BRD,,,38.41,56,,145.75,45.25
1982,BRD,,,32.92,56,,143.75,39.5
1982,BRD,,,48.25,58.5,,143.25,37.75
1982,BRD,,,33.76,53.75,,144.25,43.25
1982,BRD,,,23.74,51.25,,144,38.5
1982,BRD,,,29.64,56,,144.75,36.5
1982,BRD,,,43.37,56,,143,38.5
1982,ELDF,,,53.98,59.55,,138.5,32
1982,ELDF,,,61.57,59.25,,137.25,34.5
1982,ELDF,,,56.57,59.2,,138.5,36.25
1982,ELDF,,,68.64,59.07,,137.25,34.75
1982,ELDF,,,56.05,60.6,,138.75,41.25
1982,ELDF,,,56.74,56.97,,140,33.5
1982,ELDF,,,66.06,59.52,,139.75,40
1982,ELDF,,,57.95,59.22,,138.5,36.25
1982,ELDF,,,62.78,61.55,,138,33.25
1982,ELDF,,,60.37,60.47,,136.75,37.5
1982,ELDF,,,61.23,61.07,,140.75,37.5
1982,ELDF,,,54.5,59.95,,140,40.25
1982,ELDF,,,62.44,58.42,,137.75,36.5
1982,ELDF,,,59.5,60.55,,140.5,40.25
1982,ELDF,,,67.95,59.05,,136,35
1982,ELDF,,,70.89,61.32,,141.25,41.25
1982,ELDF,,,56.05,54.95,,138,37.5
1982,ELDF,,,61.4,60.45,,139.75,38.25
1982,ELDF,,,61.4,60.82,,140.75,41.5
1982,ELDF,,,64.33,60.95,,139.25,37.75
1982,ELDF,,,60.16,59.58,,138.61,37.5
1982,ELDF,,,55.19,60.1,,140.75,45.5
1982,ELDF,,,58.81,58.27,,137.75,36.75
1982,ELDF,,,59.85,58.85,,138,34.5
1982,ELDF,,,55.36,59.6,,136,40
1982,ELDF,,,60.88,58.4,,137,33.25
1982,ELDF,,,50.02,58.97,,138.75,42
1982,ELDF,,,63.82,61.42,,137,35.5
1982,FND,,,23.74,60.22,,134,27.5
1982,FND,,,14.16,61.12,,134,21
1982,FND,,,25.85,60.42,,134,23.25
1982,FND,,,21.85,61.25,,134,23.25
1982,FND,,,12.85,60.6,,134,22.75
1982,FND,,,24.32,61.35,,134,25
1982,FND,,,20.29,59.75,,135,24
1982,FND,,,25.34,60.7,,133,23.5
1982,FND,,,22.51,61.4,,134,23.25
1982,FND,,,21.22,60.67,,133.76,23.79
1982,FND,,,23.16,60.52,,133,25
1982,FND,,,30.49,60.52,,134,24.25
1982,FND,,,18.08,60.22,,134,22.75
1982,FND,,,23.09,60.47,,134,22.25
1982,FND,,,10.85,57.87,,132,21.25
1982,FND,,,21.09,61.07,,133,26.5
1982,FND,,,22.25,62.05,,133,25
1982,FND,,,22.14,61.92,,135,22
1982,FND,,,24.47,61.45,,136,25.25
1982,FND,,,19.89,59.52,,133,23.5
1982,FND,,,17.75,60.85,,133,23
1982,FND,,,21.53,60.75,,133,25.25
1982,FNI,,,72.17,60.42,,136.5,38
1982,FNI,,,74.56,61.45,,137.25,36.25
1982,FNI,,,67.47,59.67,,140,36.5
1982,FNI,,,70.9,54.52,,136.5,36.5
1982,FNI,,,81.33,59.75,,135.75,36
1982,FNI,,,73.01,60.6,,141.75,39.25
1982,FNI,,,73.96,60,,136.25,35.5
1982,FNI,,,71.25,60.35,,139,38.75
1982,FNI,,,79.31,60.15,,143.75,38
1982,FNI,,,71.07,58,,140.25,35.25
1982,FNI,,,75.36,58.85,,138.5,35.5
1982,FNI,,,78,60.05,,137.75,34
1982,FNI,,,73.43,60.97,,138.5,41.75
1982,FNI,,,72.07,60.62,,135.5,33.25
1982,FNI,,,73.91,60.11,,138.55,36.11
1982,FNI,,,76.58,61.02,,142.5,36.75
1982,FNI,,,73.81,60.82,,139.5,35.75
1982,FNI,,,80.49,60.15,,139,36
1982,FNI,,,77.77,60.72,,138.75,40.5
1982,FNI,,,65.15,60.12,,136.75,32
1982,FNI,,,72.82,59.72,,137.25,33
1982,FNI,,,77.11,61.32,,139,37.25
1982,FNI,,,75.6,60.3,,137.5,34.25
1982,FNI,,,69.66,60.47,,139.25,33.25
1982,FNI,,,71.01,62.5,,138.5,33.5
1982,FRD,,,27.72,51.75,,139,40.5
1982,FRD,,,30.95,52.75,,137.25,32.25
1982,FRD,,,23.43,48.75,,140,39.25
1982,FRD,,,16.17,48.75,,143.25,37
1982,FRD,,,36.04,54.75,,134,34.5
