crop,year,site,brand,genotype,pcode,yield_bu_ac,tw_lb_bu,silking_date
CORN,1991,FNI,,,1458,209.54,54.3,73
CORN,1991,FNI,,,1787,207.53,55.3,71.67
CORN,1991,FNI,,,1791,203.46,57.03,69.67
CORN,1991,FNI,,,1793,240.09,55.87,75.33
CORN,1991,FNI,,,1891,225.14,57.53,70.33
CORN,1991,FNI,,,1909,220.68,57.53,71.33
CORN,1991,FNI,,,1958,226.68,57.63,69.67
CORN,1991,FNI,,,2006,220.62,57.83,69
CORN,1991,FNI,,,2017,205.33,57.83,69.67
CORN,1991,FNI,,,2018,216.17,56.13,71
CORN,1991,FNI,,,2031,219.53,56.37,70
CORN,1991,FNI,,,2044,217.1,56.57,70
CORN,1991,FNI,,,2071,227.07,57.93,68.33
CORN,1991,FNI,,,2073,218.6,57.73,70.67
CORN,1991,FNI,,,2080,218.96,57.83,70
CORN,1991,FNI,,,2081,226.88,56.57,70.33
CORN,1991,FNI,,,2082,203.69,56.23,71.33
CORN,1991,FNI,,,2102,233.92,56.8,70
CORN,1991,FNI,,,2104,217.67,57.07,71
CORN,1991,FNI,,,2112,226.43,56.3,69.67
CORN,1991,FNI,,,2117,219.98,56.97,70.33
CORN,1991,FNI,,,2136,223.83,58.07,68.33
CORN,1991,FNI,,,2146,222.16,56.63,70
CORN,1991,FNI,,,2147,214.61,57.7,71.33
CORN,1991,FNI,,,2150,220.12,57.6,72
CORN,1991,FNI,,,2163,226.84,56.33,69.67
CORN,1991,FNI,,,2164,218.21,57.97,71.67
CORN,1991,FNI,,,2171,223.68,57.13,69.33
CORN,1991,FNI,,,2184,226.68,57.23,69.33
CORN,1991,FNI,,,2185,227.52,52.63,70
CORN,1991,FNI,,,2188,218.7,56.9,69.33
CORN,1991,FNI,,,2191,211.32,57.83,69.33
CORN,1991,FNI,,,2193,215.49,56.27,69.67
CORN,1991,FNI,,,2194,236.17,57.37,69.67
CORN,1991,FNI,,,2202,212.33,55.6,71.67
CORN,1991,FNI,,,2206,219.63,54.93,71.67
CORN,1991,FNI,,,2208,221.48,58,68
CORN,1991,FNI,,,2209,197.15,57.97,67.33
CORN,1991,FNI,,,2211,211.04,58.03,70.67
CORN,1991,FNI,,,2215,222.71,56.73,71.33
CORN,1991,FNI,,,2216,240.63,54.03,73.67
CORN,1991,FNI,,,2221,218.5,55,73.33
CORN,1991,FNI,,,2222,222.68,53.73,69.33
CORN,1991,FNI,,,2234,221.77,55.2,72.33
CORN,1991,FNI,,,2237,215.17,56.3,71
CORN,1991,FNI,,,2246,212.9,58.23,69
CORN,1991,FNI,,,2247,210.25,56.3,72
CORN,1991,FNI,,,2248,221.62,58.33,70.67
CORN,1991,FNI,,,2252,223.67,57.67,71
CORN,1991,FNI,,,2255,220.48,56.23,70.67
CORN,1991,FNI,,,2256,190.47,55,72
CORN,1991,FNI,,,2260,213.5,58.5,70.33
CORN,1991,FNI,,,2275,241.1,56.03,74
CORN,1991,FNI,,,2291,244.06,56.93,73
CORN,1991,FNI,,,2293,218.9,57.7,70.33
CORN,1991,FNI,,,2294,225.38,56.7,70.67
CORN,1991,FNI,,,2296,217.28,56.2,71
CORN,1991,FNI,,,2297,216.32,58.8,68.33
CORN,1991,FNI,,,2298,236.92,56.27,69
CORN,1991,FNI,,,2303,209,56.4,71.33
CORN,1991,FNI,,,2304,205.12,56.37,70
CORN,1991,FNI,,,2305,234.09,55.9,70.33
