"year","county","water_regime","site","latitude","longitude","soil","tillage","predecessor","planting_date","planting_date_DOY","density_pl_ha","nitrogen_kg_ha","phosphorus_kg_ha","potassium_kg_ha","irrigation_mm","harvest_date","harvest_date_DOY","mean_yield","sd_yield","mean_tw_lb_bu","sd_tw_lb_bu","mean_silking","sd_silking"
1991,"Finney","irrigated","Garden City",37.989533,-100.81519,"Ulysses silt loam",,"corn",1991-05-02,122,60785.3990501278,168.1275,0,0,635,1991-09-21,264,218.92350877193,11.5250112765542,56.7456140350877,1.29514753667224,70.745350877193,1.60158338678391
1991,"Republic","irrigated","Scandia",39.831345,-97.843164,"Crete silt loam",,"soybean",1991-05-07,127,60785.3990501278,244.3453,22.50039124,0,281.94,1991-09-23,266,169.295064935065,16.7062992077663,58.9551948051948,0.880967784806797,65.9350649350649,2.10474190402768
1991,"Shawnee","irrigated","Topeka",39.076368,-95.768895,"Eudora silt loam",,"soybean",1991-04-16,106,60785.3990501278,207.35725,20.54383548,19.5394754205,284.48,1991-09-06,249,201.346129032258,11.8405861278878,57.1040322580645,1.35732072109946,77.4959677419355,1.53276505709578
1991,"Thomas","irrigated","Colby",39.393921,-101.063517,"Keith silt loam",,"soybean",1991-05-08,128,68887.9773453987,252.19125,19.5655576,0,533.4,1991-10-16,289,239.748155339806,17.6223242300711,61.002427184466,1.11268132782616,68.1165048543689,1.61898037916259
1992,"Finney","irrigated","Garden City",37.989533,-100.81519,"Keith silt loam",,"soybean",1992-04-23,114,68887.9773453987,224.17,0,0,612.14,1992-10-21,295,238.526324786325,12.461111272073,55.9150427350427,1.42200479164745,87.2162393162393,2.56365133142761
1992,"Franklin","dryland","Ottawa",38.539397,-95.2444,"Woodson silt loam",,"soybean",1992-05-20,141,44928.6607394375,125.5352,23.47866912,22.330829052,0,1992-11-09,314,181.569375,11.2421488477197,56.705625,1.14378635339919,67.1171875,1.68676497807781
1992,"Republic","dryland","Belleville",39.815895,-97.706977,"Crete silt loam",,"sorghum",1992-04-10,101,46969.7493859437,184.94025,24.94608594,0,0,1992-09-16,260,182.093888888889,27.8137860736656,53.3316666666667,1.22714997405514,86.1944444444444,2.61859239741332
1992,"Republic","irrigated","Scandia",39.831345,-97.843164,"Crete silt loam",,"soybean",1992-04-28,119,79486.3177871238,190.5445,16.63072396,0,0,1992-09-21,265,210.086774193548,14.4846122731081,58.6872580645161,0.585410516897803,76.4838709677419,1.14059856997624
1992,"Shawnee","irrigated","Topeka",39.076368,-95.768895,"Eudora silt loam",,"soybean",1992-05-01,122,68887.9773453987,209.59895,20.05469654,0,170.18,1992-10-06,280,210.813684210526,12.5430744453405,58.1026315789474,1.07761231816952,72.3947368421053,1.51329477968622
1993,"Finney","irrigated","Garden City",37.989533,-100.81519,"Keith silt loam",,"soybean",1993-05-07,127,68887.9773453987,224.17,24.456947,0,622.3,1993-10-13,286,202.195523809524,14.6484332964414,,,75.346,2.18840062778558
1993,"Franklin","dryland","Ottawa",38.539397,-95.2444,"Woodson silt loam",,"soybean",1993-04-27,117,44928.6607394375,125.5352,23.47866912,22.330829052,0,1993-10-06,279,108.30387755102,10.7175298025257,56.0183673469388,1.00367521917114,80.5459183673469,1.85592622694544
1993,"Republic","dryland","Belleville",39.815895,-97.706977,"Crete silt loam",,"wheat",1993-04-26,116,46969.7493859437,235.3785,14.6741682,0,0,1993-09-30,273,165.114545454545,13.0972099041257,55.6754545454545,0.55886248105171,78,2.84824507372522
1993,"Shawnee","irrigated","Topeka",39.076368,-95.768895,"Eudora silt loam",,"soybean",1993-04-22,112,60787.8701017579,209.59895,20.54383548,0,0,1993-09-22,265,154.490833333333,9.69223545459687,60.2816666666667,1.19064028731826,80.2916666666667,2.1722277611539
1994,"Finney","irrigated","Garden City",37.989533,-100.81519,"Keith silt loam",,"soybean",1994-05-05,125,68887.9773453987,201.753,0,0,127,1994-10-12,285,193.762962962963,14.933682101582,,,71.962962962963,1.53659074288215
1994,"Franklin","dryland","Ottawa",38.539397,-95.2444,"Woodson silt loam",,"soybean",1994-05-18,138,44928.6607394375,114.3267,23.47866912,22.330829052,0,1994-10-27,300,135.1375,8.33864688752879,58.30625,0.886879840262383,61.4375,2.61669151183037
1994,"Republic","dryland","Belleville",39.815895,-97.706977,"Crete silt loam",,"wheat",1994-04-20,110,68887.9773453987,205.11555,12.2284735,0,,1994-09-14,257,206.085,32.50806013413,56.525,0.186024899295484,81.95,2.11448637535903
1994,"Republic","irrigated","Scandia",39.831345,-97.843164,"Crete silt loam",,"soybean",1994-04-22,112,68887.9773453987,201.753,14.6741682,27.913536315,152.4,1994-10-10,283,218.603571428571,24.3050384921295,58.5578125,0.732207943293585,78.890625,2.63141694885667
1994,"Thomas","irrigated","Colby",39.393921,-101.063517,"Keith silt loam",,"soybean",1994-05-04,124,68887.9773453987,207.35725,14.6741682,0,609.6,1994-10-21,294,250.467948717949,14.4879662881361,57.5782051282051,1.05123890248755,71.4871794871795,2.64203576439703
1995,"Finney","irrigated","Garden City",37.989533,-100.81519,"Keith silt loam",,"soybean",1995-05-15,135,68887.9773453987,224.17,0,0,127,1995-10-17,290,181.803125,14.2159768912136,,,77.333,2.09404242337305
1995,"Franklin","dryland","Ottawa",38.539397,-95.2444,"Woodson silt loam",,"soybean",1995-06-19,170,44928.6607394375,78.4595,16.63072396,10.2349633155,0,1995-11-04,308,102.93,15.1286939290872,55.8094117647059,0.791541311024778,55.4509803921569,1.66509730034249
1995,"Republic","dryland","Belleville",39.815895,-97.706977,"Crete silt loam",,"wheat",1995-04-23,113,46969.7493859437,201.753,14.6741682,0,0,1995-10-20,293,116.054,10.5124333189664,58.4833333333333,0.621423097950717,93.5666666666667,3.39309522974161
1995,"Republic","irrigated","Scandia",39.831345,-97.843164,"Crete silt loam",,"soybean",1995-05-16,136,68887.9773453987,201.753,14.6741682,0,228.6,1995-10-25,298,178.211538461538,16.9644166678623,57.6961538461538,0.803585479539105,74.4951923076923,1.8347746459738
1995,"Shawnee","irrigated","Topeka",39.076368,-95.768895,"Eudora silt loam",,"soybean",1995-04-28,118,68887.9773453987,209.59895,20.05469654,0,,1995-10-02,275,150.10170212766,12.7506837530468,50.7068085106383,1.26826842993145,86.9568085106383,1.56161163459975
1995,"Thomas","irrigated","Colby",39.393921,-101.063517,"Keith silt loam",,"sunflower",1995-05-12,132,68887.9773453987,240.98275,12.2284735,0,444.5,1995-10-27,300,127.913902439024,24.2820124329272,54.0512195121951,1.25421205429761,83.5579268292683,2.06203886745043
1996,"Finney","irrigated","Garden City",37.989533,-100.81519,"Keith silt loam",,"soybean",1996-04-29,120,69189.4456442773,224.17,0,0,,1996-10-17,291,177.923846153846,11.19104464688,,,79.6872307692308,2.3748450657966
1996,"Franklin","dryland","Ottawa",38.539397,-95.2444,"Woodson silt loam",,"soybean",1996-04-25,116,44973.1396687802,78.4595,0,0,0,1996-10-04,278,154.644634146341,10.8709443236457,55.1158536585366,1.2268577252676,73.9573170731707,2.36900720175166
